"relativePath","entryType","Length","Extension","lastModifiedUtc","LinkType"
"diary-1828-and-1829-and-jan-1830","directory",,"","2026-08-04T14:18:07.5010835Z",
"diary-1828-and-1829-and-jan-1830/images","directory",,"","2026-08-04T14:44:55.5099011Z",
"diary-1828-and-1829-and-jan-1830/images/bugsbys_reach.jpg","file","95227",".jpg","2026-04-14T19:57:43.5216427Z",
"diary-1828-and-1829-and-jan-1830/images/img2840-image-map-whitley-park.jpg","file","97518",".jpg","2026-04-14T19:57:43.5822545Z",
"diary-1828-and-1829-and-jan-1830/images/img2841-image-map-commercial-hotel.jpg","file","378089",".jpg","2023-12-31T23:01:06.9469028Z",
"diary-1828-and-1829-and-jan-1830/images/img2842-image-broomville-house.jpg","file","45891",".jpg","2026-04-18T09:46:09.3125674Z",
"diary-1828-and-1829-and-jan-1830/images/img2842-image-clogrennane-house.jpg","file","64933",".jpg","2026-04-18T09:46:09.3493283Z",
"diary-1828-and-1829-and-jan-1830/images/img2842-image-map-carlow.jpg","file","349100",".jpg","2026-04-18T09:46:09.3932122Z",
"diary-1828-and-1829-and-jan-1830/images/img2842-image-map-dublin.jpg","file","430776",".jpg","2026-04-18T09:46:09.6109880Z",
"diary-1828-and-1829-and-jan-1830/images/img2842-image-map-tynemouth-to-carlow.jpg","file","283417",".jpg","2026-04-18T09:46:09.6607000Z",
"diary-1828-and-1829-and-jan-1830/images/img2852-image-black-middens.jpg","file","222697",".jpg","2026-04-18T09:46:09.7057987Z",
"diary-1828-and-1829-and-jan-1830/images/img2852-image-hope-voyage.jpg","file","234230",".jpg","2026-04-18T09:46:09.7520826Z",
"diary-1828-and-1829-and-jan-1830/images/img2855-image-appuldurcombe-house.jpg","file","610224",".jpg","2026-04-18T09:46:09.8181453Z",
"diary-1828-and-1829-and-jan-1830/images/img2855-image-isle-of-wight.jpg","file","235096",".jpg","2026-04-18T09:46:09.8644291Z",
